round_idx,client_id,selected,is_attacker,train_loss,train_acc,update_norm
13,3,True,False,0.33558356420199076,0.898,0.09537919610738754
13,4,True,False,0.3274345401128133,0.9056666666666666,0.10678337514400482
13,5,True,False,0.3254250380198161,0.9093333333333333,0.10167419165372849
13,6,True,False,0.31311104734738665,0.9023333333333333,0.10332650691270828
13,7,True,False,0.31239486861228943,0.9093333333333333,0.0904095396399498
13,8,True,False,0.3125375385284424,0.9146666666666666,0.1119077205657959
13,9,True,False,0.3674152874946594,0.8903333333333333,0.11377467215061188
13,10,True,False,0.35377186195055643,0.891,0.12768176198005676
13,11,True,False,0.30943826675415037,0.9103333333333333,0.09356420487165451
13,12,True,False,0.33945778441429136,0.9013333333333333,0.11457657068967819
13,13,True,False,0.32123352710405984,0.9083333333333333,0.10189460963010788
13,14,True,False,0.30142360480626423,0.907,0.09763416647911072
13,15,True,False,0.3474229640165965,0.9003333333333333,0.11036308109760284
13,16,True,False,0.3127286073366801,0.9046666666666666,0.11342627555131912
13,17,True,False,0.3114117620786031,0.9063333333333333,0.09190421551465988
13,18,True,False,0.32118105673789976,0.9076666666666666,0.09248542040586472
13,19,True,False,0.31197321486473084,0.9083333333333333,0.0987953320145607
14,0,True,False,0.28212526758511863,0.9203333333333333,0.08464708924293518
14,1,True,False,0.32046438042322795,0.9053333333333333,0.10658238083124161
14,2,True,False,0.30173787562052407,0.9126666666666666,0.09592349827289581
14,3,True,False,0.32041764879226686,0.9043333333333333,0.12980781495571136
14,4,True,False,0.328421250184377,0.9023333333333333,0.09315966814756393
14,5,True,False,0.30982169683774313,0.9156666666666666,0.09407391399145126
14,6,True,False,0.31996510744094847,0.8983333333333333,0.10799533873796463
14,7,True,False,0.3224486612478892,0.9093333333333333,0.11747022718191147
14,8,True,False,0.29158467185497283,0.921,0.08925605565309525
14,9,True,False,0.3152053772608439,0.9116666666666666,0.10122833400964737
14,10,True,False,0.34538941756884256,0.8956666666666667,0.12865275144577026
14,11,True,False,0.30315414905548094,0.9126666666666666,0.10308851301670074
14,12,True,False,0.32408377265930177,0.906,0.11792484670877457
14,13,True,False,0.3501644019285838,0.89,0.12880931794643402
14,14,True,False,0.2826674350897471,0.918,0.09366961568593979
14,15,True,False,0.3078717906475067,0.912,0.1018565446138382
14,16,True,False,0.2759354189236959,0.9186666666666666,0.08207754045724869
14,17,True,False,0.3177761982282003,0.904,0.09695563465356827
14,18,True,False,0.30332946276664735,0.9113333333333333,0.09628161042928696
14,19,True,False,0.3189580999215444,0.9053333333333333,0.09724026173353195
15,0,True,False,0.2768617230256398,0.9236666666666666,0.10395576059818268
